first_name,last_name,year_of_birth,year_of_enrollment,idnp,faculty
Terencio,Bettaney,1995,2001,5428801991939,Faculty of Mathematics and Informatics
Britt,Cumesky,1996,2020,4355418793540,Faculty of Physics and Engineering
Olympie,Radeliffe,1996,2013,5573591204328,Faculty of Mathematics and Informatics
Josee,Trevaskiss,2001,2000,779089373170,Faculty of Physics and Engineering
Honoria,Echalier,1998,2014,1221194267955,Faculty of Journalism and Communication Sciences
Doe,McGann,1995,2001,9509837750827,Faculty of Philology
Padget,Dashkovich,2000,2006,709380837257,Faculty of Chemistry and Chemical Technology
Anatola,Yukhnini,1998,2011,2810021175936,Faculty of Psychology
Felicity,Pleace,1995,2020,6249059072616,Faculty of Chemistry and Chemical Technology
Salvatore,Cloney,1995,2005,7488754259144,Faculty of Psychology
Arv,Vicary,2002,2017,4339049676110,Faculty of Law
Harley,Foxall,1995,2018,4494742925289,Faculty of Economic Sciences
Allie,Cotterel,2001,2006,8852447745928,Faculty of Physics and Engineering
Concettina,Bremen,1996,2021,7298892510812,Faculty of Philology
Carmon,McAloren,1998,2002,5821802306560,Faculty of Economic Sciences
Kelsy,Clinkard,2002,2015,7413459856840,Faculty of Mathematics and Informatics
Kellsie,Penreth,1999,2019,852086041602,Faculty of Psychology
Weston,Iiannone,2000,2008,8009294823931,Faculty of Law
Ardyce,Kacheller,1999,2021,7542560181220,Faculty of Law
Gabbi,Goulborn,2002,2020,5703201228752,Faculty of Chemistry and Chemical Technology
Lindsey,Carlisi,2001,2006,5113090645515,Faculty of Economic Sciences
Rollie,Abramcik,1999,2022,174591257086,Faculty of Biology and Geoscience
Isadore,Ellerman,2001,2007,2950049827647,Faculty of Chemistry and Chemical Technology
Gay,Carrier,1995,2010,9370285381782,Faculty of Chemistry and Chemical Technology
Bogey,Gerren,1995,2016,9371417682557,Faculty of Psychology
Leland,MacMearty,1997,2012,7419505903474,Faculty of Biology and Geoscience
Delaney,Romera,1996,2006,314073141091,Faculty of International Relations
Gothart,Fernando,2002,2005,6294573745143,Faculty of History and Philosophy
Desmond,Franke,2000,2012,6375743302814,Faculty of Economic Sciences
Melonie,McCulley,1995,2002,2223184534449,Faculty of Psychology
Moyra,Casement,1995,2004,9346921296417,Faculty of Psychology
Joshua,Wallett,2000,2010,1226244477493,Faculty of Journalism and Communication Sciences
Granville,Harback,2000,2014,2580167913121,Faculty of Chemistry and Chemical Technology
Elbertine,Penson,2001,2018,8999639480114,Faculty of Chemistry and Chemical Technology
Calida,Housbey,1998,2007,7002803998934,Faculty of Biology and Geoscience
Biron,Dumingos,1998,2009,3420778623899,Faculty of Economic Sciences
Louie,Beeck,1998,2014,7878046822623,Faculty of International Relations
Brianna,Ludwikiewicz,2002,2006,5354239412832,Faculty of Physics and Engineering
Bride I,Lugg,1999,2019,9682560443615,Faculty of Economic Sciences
Kate,Summerlad,1997,2015,5338644277910,Faculty of Economic Sciences
Hobard I,Orwell,2000,2003,3138408204043,Faculty of Physics and Engineering
Kanya,Jallin,2000,2021,1303926661437,Faculty of Biology and Geoscience
Sibel,Dundredge,1995,2006,732006825358,Faculty of Law
Kikelia,Chasles,1998,2003,2153300593432,Faculty of Chemistry and Chemical Technology
Nickolai,Hegge,1998,2019,5484696368180,Faculty of Biology and Geoscience
Worth,Cottisford,1996,2020,3887953931999,Faculty of History and Philosophy
Geno,Gallego,1999,2020,7718039726517,Faculty of Chemistry and Chemical Technology
Roobbie,Balls,1996,2015,3308489407153,Faculty of Physics and Engineering
Jacky,Summerrell,2002,2004,8574115321109,Faculty of Psychology
Catharine,Swatten,2001,2001,9189117566355,Faculty of Journalism and Communication Sciences
Elke,Kingh,2001,2009,8811000365556,Faculty of Chemistry and Chemical Technology
Teador,Cruikshanks,1996,2004,6904526649096,Faculty of Biology and Geoscience
Shelton,Kane,1999,2006,1252695298381,Faculty of Journalism and Communication Sciences
Aurore,Staite,1995,2001,2578181573228,Faculty of Law
Janean,Merryman,1998,2013,5916454727515,Faculty of Economic Sciences
Homer,Mulvaney,2002,2009,6266416003057,Faculty of Psychology
Christy,LaPadula,1997,2009,3094146399749,Faculty of Law
Atlante,Zukierman,2000,2005,3268962485919,Faculty of International Relations
Reinold,Jery,1998,2000,372485624756,Faculty of Psychology
Lindsy I,Maccaddie,1996,2018,2072157384442,Faculty of Law
Murdoch,Hackford,1998,2018,2607427174716,Faculty of Psychology
Frederick,Blazynski,2001,2013,6724907867457,Faculty of Biology and Geoscience
Mallory,Whitty,1996,2012,9206337109132,Faculty of History and Philosophy
Agustin,Beyn,2002,2009,1515314750856,Faculty of Philology
Malva,Keitley,1995,2001,5481915197979,Faculty of History and Philosophy
Gerry,Shulver,2002,2022,1728925422190,Faculty of Psychology
Kelsey,Hallitt,1996,2012,4423870996262,Faculty of Physics and Engineering
Jacquelin,McCome,1998,2002,1199174757780,Faculty of International Relations
Hale,Edwinson,1997,2011,8929685358942,Faculty of International Relations
Jolyn,Fernehough,1995,2012,7350515497808,Faculty of Economic Sciences
Cornelia,Duprey,1999,2012,9164956871228,Faculty of Journalism and Communication Sciences
Neila,Marrian,1999,2009,1337731389021,Faculty of Psychology
Lynne,Wartnaby,1996,2000,7232692938897,Faculty of Psychology
Casper,Guillard,1996,2014,8385536682732,Faculty of History and Philosophy
Faunie,Sigart,2000,2007,9134997486558,Faculty of International Relations
Pascale,Borlease,2001,2010,7832548980389,Faculty of Psychology
Jesselyn,Pacher,2002,2009,6268610056919,Faculty of Economic Sciences
Farrand,Rothert,1997,2019,9188727330953,Faculty of Law
Bing,Angeli,2000,2002,8316743299317,Faculty of Philology
Leanora,Spick,1995,2017,9740389886572,Faculty of History and Philosophy
Silvie,Colliver,1995,2021,4727869432622,Faculty of Law
Natalie,Bernon,1998,2000,8489799375545,Faculty of Biology and Geoscience
Vivie,Pammenter,1997,2020,1343617004286,Faculty of History and Philosophy
Bradford,Sleaford,1997,2019,9068729123396,Faculty of Psychology
Gigi,Lamport,2002,2004,1461832855715,Faculty of Chemistry and Chemical Technology
Ellene I,Kalinowsky,1995,2019,9449817362007,Faculty of Philology
Umberto,Doll,1996,2018,9927571919741,Faculty of International Relations
Hashim,Hampson,2000,2005,9962735901002,Faculty of Journalism and Communication Sciences
Bess,Yoxall,1996,2010,6038566746474,Faculty of Journalism and Communication Sciences
Engracia I,Massard,2002,2003,7678274179810,Faculty of Journalism and Communication Sciences
Melinda,Galland,1997,2002,4084812989564,Faculty of Psychology
Carolyn,Feeney,2000,2018,8441912371923,Faculty of Law
Latisha,Blondelle,1996,2018,1886338460137,Faculty of Economic Sciences
Patrica,Quye,1998,2000,5884469171946,Faculty of Law
Dukey,Avrashin,1995,2014,8248293565596,Faculty of Biology and Geoscience
Bobbe,Kynson,1997,2011,7211732976166,Faculty of History and Philosophy
Kyrstin,Alfonzo,1999,2000,1726585190913,Faculty of International Relations
Heida,Chittleburgh,1999,2017,1089390357477,Faculty of History and Philosophy
Nessi,Giamitti,2002,2016,1157212970662,Faculty of Psychology
